time,organism,abundance,log_sigma
0,H,66.36976417,-0.902340506
1,H,69.27025705,-0.328790519
4,H,97.46213518,0.606000398
6,H,145.4579446,0.107446696
8,H,138.622831,0.632012883
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
