made H have same vol number as assay partner but 0 for strain,,,,,,,,,
assay,time(day),strain,organism,Vol_number,rep1,rep2,rep3,rep4,oriSource
plus_400,8,0,H,52,11.88970476,NA,16.25985162,NA,BCC-1-31
plus_0,0,CC9605,S,53,4.57E+04,6.10E+04,4.57E+04,5.06E+04,BCC-1-31
plus_0,1,CC9605,S,53,6.26E+04,5.99E+04,5.34E+04,4.90E+04,BCC-1-31
plus_0,4,CC9605,S,53,1.34E+05,1.30E+05,1.13E+05,1.06E+05,BCC-1-31
plus_0,6,CC9605,S,53,4.12E+05,4.08E+05,3.48E+05,3.45E+05,BCC-1-31
plus_0,8,CC9605,S,53,8.98E+05,8.94E+05,7.08E+05,7.14E+05,BCC-1-31
plus_0,0,0,H,53,80.74660061,NA,82.11399016,NA,BCC-1-31
plus_0,1,0,H,53,75.43329594,NA,77.87042193,NA,BCC-1-31
plus_0,4,0,H,53,96.8121565,NA,98.55423489,NA,BCC-1-31
plus_0,6,0,H,53,80.80862989,NA,83.42733245,NA,BCC-1-31
plus_0,8,0,H,53,23.32607537,NA,28.43645843,NA,BCC-1-31
plus_400,0,CC9605,S,53,4.91E+04,4.15E+04,4.17E+04,4.59E+04,BCC-1-31
plus_400,1,CC9605,S,53,4.47E+04,4.83E+04,5.04E+04,5.05E+04,BCC-1-31
plus_400,4,CC9605,S,53,1.11E+05,1.14E+05,1.19E+05,1.18E+05,BCC-1-31
plus_400,6,CC9605,S,53,3.73E+05,3.85E+05,3.89E+05,3.73E+05,BCC-1-31
plus_400,8,CC9605,S,53,9.45E+05,9.32E+05,9.56E+05,8.96E+05,BCC-1-31
plus_400,0,0,H,53,394.0160072,NA,366.7291262,NA,BCC-1-31
plus_400,1,0,H,53,348.7164216,NA,350.5529357,NA,BCC-1-31
plus_400,4,0,H,53,300.2284807,NA,278.1098745,NA,BCC-1-31
plus_400,6,0,H,53,194.257934,NA,173.5155576,NA,BCC-1-31
plus_400,8,0,H,53,38.88758998,NA,34.91317674,NA,BCC-1-31
plus_0,0,WH8102,S,54,5.07E+04,5.82E+04,5.85E+04,5.64E+04,BCC-1-31
plus_0,1,WH8102,S,54,5.41E+04,4.80E+04,5.04E+04,5.82E+04,BCC-1-31
plus_0,4,WH8102,S,54,2.17E+04,2.65E+04,2.60E+04,2.62E+04,BCC-1-31
plus_0,6,WH8102,S,54,2.31E+04,2.21E+04,2.55E+04,2.13E+04,BCC-1-31
plus_0,8,WH8102,S,54,3.54E+04,3.18E+04,3.40E+04,3.28E+04,BCC-1-31
plus_0,0,0,H,54,77.98392979,NA,74.50406805,NA,BCC-1-31
plus_0,1,0,H,54,72.17506078,NA,69.93839562,NA,BCC-1-31
plus_0,4,0,H,54,94.35323822,NA,88.24026991,NA,BCC-1-31
plus_0,6,0,H,54,108.4095545,NA,100.5982063,NA,BCC-1-31
plus_0,8,0,H,54,83.27492714,NA,75.96683714,NA,BCC-1-31
plus_400,0,WH8102,S,54,5.82E+04,6.29E+04,6.15E+04,6.53E+04,BCC-1-31
plus_400,1,WH8102,S,54,4.30E+04,4.73E+04,4.47E+04,4.60E+04,BCC-1-31
plus_400,4,WH8102,S,54,2.24E+04,2.05E+04,2.10E+04,2.27E+04,BCC-1-31
plus_400,6,WH8102,S,54,2.25E+04,2.05E+04,2.12E+04,2.24E+04,BCC-1-31
plus_400,8,WH8102,S,54,2.80E+04,2.63E+04,2.55E+04,2.76E+04,BCC-1-31
plus_400,0,0,H,54,348.7736339,NA,365.9533713,NA,BCC-1-31
plus_400,1,0,H,54,328.326154,NA,347.1471244,NA,BCC-1-31
plus_400,4,0,H,54,293.5844091,NA,316.9302325,NA,BCC-1-31
plus_400,6,0,H,54,305.0156789,NA,330.5671415,NA,BCC-1-31
plus_400,8,0,H,54,240.5895845,NA,283.7196702,NA,BCC-1-31
"coculture_1,28",0,MIT9215,P,1,2.30E+05,2.92E+05,2.70E+05,2.71E+05,BCC-1-31
"coculture_1,28",1,MIT9215,P,1,2.50E+05,2.42E+05,2.21E+05,2.37E+05,BCC-1-31
"coculture_1,28",4,MIT9215,P,1,5.90E+03,5.85E+03,6.20E+03,6.63E+03,BCC-1-31
"coculture_1,28",6,MIT9215,P,1,1.25E+04,1.16E+04,1.04E+04,1.32E+04,BCC-1-31
"coculture_1,28",8,MIT9215,P,1,3.42E+04,2.04E+04,2.43E+04,2.81E+04,BCC-1-31
"coculture_1,28",0,WH7803,S,28,7.66E+04,8.17E+04,8.37E+04,7.71E+04,BCC-1-31
"coculture_1,28",1,WH7803,S,28,1.08E+05,1.04E+05,1.20E+05,1.09E+05,BCC-1-31
"coculture_1,28",4,WH7803,S,28,2.51E+05,2.48E+05,2.89E+05,2.95E+05,BCC-1-31
"coculture_1,28",6,WH7803,S,28,5.85E+05,5.67E+05,7.30E+05,7.22E+05,BCC-1-31
"coculture_1,28",8,WH7803,S,28,1.19E+06,1.18E+06,1.49E+06,1.53E+06,BCC-1-31
"coculture_1,28",0,0,H,"1,28",342.3870376,NA,356.847723,NA,BCC-1-31
"coculture_1,28",1,0,H,"1,28",308.0232569,NA,315.3749968,NA,BCC-1-31
"coculture_1,28",4,0,H,"1,28",143.7303939,NA,135.911817,NA,BCC-1-31
"coculture_1,28",6,0,H,"1,28",46.92994147,NA,48.37770957,NA,BCC-1-31
"coculture_1,28",8,0,H,"1,28",13.39056504,NA,10.4242183,NA,BCC-1-31
"coculture_1,52",0,MIT9215,P,1,2.39E+05,2.41E+05,2.51E+05,2.64E+05,BCC-1-31
"coculture_1,52",1,MIT9215,P,1,2.25E+05,2.13E+05,2.17E+05,2.31E+05,BCC-1-31
"coculture_1,52",4,MIT9215,P,1,5.58E+03,4.22E+03,3.79E+03,6.05E+03,BCC-1-31
"coculture_1,52",6,MIT9215,P,1,9.53E+03,1.20E+04,8.50E+03,1.26E+04,BCC-1-31
"coculture_1,52",8,MIT9215,P,1,2.34E+04,2.18E+04,2.61E+04,2.15E+04,BCC-1-31
"coculture_1,52",0,WH7803,S,52,6.70E+04,6.80E+04,7.62E+04,5.52E+04,BCC-1-31
"coculture_1,52",1,WH7803,S,52,9.17E+04,8.37E+04,8.72E+04,8.02E+04,BCC-1-31
"coculture_1,52",4,WH7803,S,52,1.87E+05,1.88E+05,1.85E+05,1.89E+05,BCC-1-31
"coculture_1,52",6,WH7803,S,52,4.24E+05,4.34E+05,4.39E+05,4.38E+05,BCC-1-31
"coculture_1,52",8,WH7803,S,52,9.12E+05,9.68E+05,9.79E+05,9.54E+05,BCC-1-31
"coculture_1,52",0,0,H,"1,52",341.0350276,NA,356.6137279,NA,BCC-1-31
"coculture_1,52",1,0,H,"1,52",319.9400324,NA,329.8644333,NA,BCC-1-31
"coculture_1,52",4,0,H,"1,52",190.5918342,NA,190.1369587,NA,BCC-1-31
"coculture_1,52",6,0,H,"1,52",69.17312216,NA,69.58837264,NA,BCC-1-31
"coculture_1,52",8,0,H,"1,52",12.10717529,NA,15.30301617,NA,BCC-1-31
"coculture_1,53",0,MIT9215,P,1,2.70E+05,2.70E+05,2.62E+05,2.75E+05,BCC-1-31
"coculture_1,53",1,MIT9215,P,1,2.31E+05,2.18E+05,2.22E+05,2.11E+05,BCC-1-31
"coculture_1,53",4,MIT9215,P,1,1.02E+04,8.49E+03,8.92E+03,8.49E+03,BCC-1-31
"coculture_1,53",6,MIT9215,P,1,3.40E+04,2.29E+04,2.87E+04,3.23E+04,BCC-1-31
