assay,time,strain,organism,Vol_number,rep1,rep2,rep3,rep4,raw_abundance,log_abundance,HOOH_stdv,log_sigma,oriSource,,,,,,,,,,
S_plus_400,0,NA,H,0,NA,NA,NA,NA,356.6280648,2.55E+00,14.56362957,1.163269624,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_400,1,NA,H,0,NA,NA,NA,NA,304.6847796,2.48E+00,14.36530741,1.157314924,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_400,4,NA,H,0,NA,NA,NA,NA,144.8808353,2.16E+00,7.150254093,0.854321475,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_400,6,NA,H,0,NA,NA,NA,NA,55.34478047,1.74E+00,2.830534095,0.45186839,Cocultures-1-31-20-BCC,,,,,,,,,,
S_plus_400,8,NA,H,0,NA,NA,NA,NA,15.50175425,1.19E+00,1.749805373,0.242989746,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",0,MIT9215,P,1,2.30E+05,2.92E+05,2.70E+05,2.71E+05,264911.9113,2.17E+01,NA,0.04407776,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",1,MIT9215,P,1,2.50E+05,2.42E+05,2.21E+05,2.37E+05,237130.5636,2.15E+01,NA,0.022599229,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",4,MIT9215,P,1,5.90E+03,5.85E+03,6.20E+03,6.63E+03,6139.177734,1.52E+01,NA,0.02498936,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",6,MIT9215,P,1,1.25E+04,1.16E+04,1.04E+04,1.32E+04,11880.59062,1.63E+01,NA,0.04630622,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",8,MIT9215,P,1,3.42E+04,2.04E+04,2.43E+04,2.81E+04,26250.53863,1.77E+01,NA,0.095152549,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",0,WH7803,S,28,7.66E+04,8.17E+04,8.37E+04,7.71E+04,79704.23271,1.96E+01,NA,0.018901234,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",1,WH7803,S,28,1.08E+05,1.04E+05,1.20E+05,1.09E+05,110257.1008,2.02E+01,NA,0.027540167,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",4,WH7803,S,28,2.51E+05,2.48E+05,2.89E+05,2.95E+05,269968.7299,2.17E+01,NA,0.039487439,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",6,WH7803,S,28,5.85E+05,5.67E+05,7.30E+05,7.22E+05,646658.3145,2.32E+01,NA,0.058402142,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",8,WH7803,S,28,1.19E+06,1.18E+06,1.49E+06,1.53E+06,1337272.615,2.45E+01,NA,0.061801478,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",0,NA,H,0,NA,NA,NA,NA,349.6173803,2.54E+00,10.2252487,1.00967388,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",1,NA,H,0,NA,NA,NA,NA,311.6991268,2.49E+00,5.198465116,0.715875134,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",4,NA,H,0,NA,NA,NA,NA,139.8211054,2.15E+00,5.52856877,0.742612716,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",6,NA,H,0,NA,NA,NA,NA,47.65382552,1.68E+00,1.023726644,0.010184007,Cocultures-1-31-20-BCC,,,,,,,,,,
"coculture_1,28_400",8,NA,H,0,NA,NA,NA,NA,11.90739167,1.08E+00,2.097523898,0.321706918,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,0,abiotic,H,0,NA,NA,NA,NA,66.36976417,1.82E+00,0.125215904,-0.902340506,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,1,abiotic,H,0,NA,NA,NA,NA,69.27025705,1.84E+00,0.469039568,-0.328790519,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,4,abiotic,H,0,NA,NA,NA,NA,97.46213518,1.99E+00,4.036457627,0.606000398,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,6,abiotic,H,0,NA,NA,NA,NA,145.4579446,2.16E+00,1.280697895,0.107446696,Cocultures-1-31-20-BCC,,,,,,,,,,
0_abiotic,8,abiotic,H,0,NA,NA,NA,NA,138.622831,2.14E+00,4.28561233,0.632012883,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,0,abiotic,H,0,NA,NA,NA,NA,362.8329305,2.56E+00,5.841831886,0.766549055,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,1,abiotic,H,0,NA,NA,NA,NA,372.1556013,2.57E+00,7.58882317,0.880174433,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,4,abiotic,H,0,NA,NA,NA,NA,380.1547341,2.58E+00,3.307065619,0.519442812,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,6,abiotic,H,0,NA,NA,NA,NA,433.2287546,2.64E+00,5.865289873,0.768289481,Cocultures-1-31-20-BCC,,,,,,,,,,
400_abiotic,8,abiotic,H,0,NA,NA,NA,NA,403.7594789,2.61E+00,2.287771028,0.359412556,Cocultures-1-31-20-BCC,,,,,,,,,,
