made H have same vol number as assay partner but 0 for strain,,,,,,,,,,natural log ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assay,time(hr),strain,organism,Vol_number,rep1,rep2,rep3,rep4,raw_abundance,log_abundance,HOOH_stdv,log_sigma,oriSource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,5,0,H,57,NA,NA,NA,NA,120.6341287,2.081470192,1.721771804,0.235975592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,RCC299,D,57,7.85E+04,7.19E+04,7.40E+04,8.34E+04,NA,4.885433842,NA,0.028591487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,RCC299,D,57,9.52E+04,9.71E+04,9.83E+04,9.97E+04,NA,4.989329899,NA,0.008520798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,RCC299,D,57,1.96E+05,1.79E+05,2.01E+05,1.80E+05,NA,5.275721012,NA,0.026086567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,RCC299,D,57,9.40E+05,9.54E+05,9.78E+05,9.31E+05,NA,5.977930323,NA,0.00923778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,0,0,H,57,NA,NA,NA,NA,341.867034,2.533857224,4.91709266,0.691708392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,1,0,H,57,NA,NA,NA,NA,320.6165216,2.505985898,4.966482872,0.696048942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,2,0,H,57,NA,NA,NA,NA,229.3960309,2.360585899,3.54010852,0.549016575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_400,5,0,H,57,NA,NA,NA,NA,122.7496021,2.089020093,0.428091954,-0.368462934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plus_0,0,CCMP1545,D,58,6.27E+04,7.24E+04,7.68E+04,7.66E+04,NA,4.856623267,NA,0.041254852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
