assay,Time (days),treatment(HOOH (uM)),Plank_type,strain,rep1,rep2,rep3,rep4,HOOH_avg,HOOH_stdv,method,oriSource,temperature
plus_400,0,0,Pro,MIT9215,1.29E+06,1.32E+06,1.28E+06,1.37E+06,324.5120356,8.177971046,flow,Cocultures-2-5-20-BCC,Nan
plus_400,1,0.4,Pro,MIT9215,1.21E+06,1.18E+06,1.18E+06,1.15E+06,363.5574012,16.10371166,flow,Cocultures-2-5-20-BCC,Nan
plus_400,2,0.4,Pro,MIT9215,1.52E+04,1.88E+04,2.46E+04,2.78E+04,336.9121305,7.426397749,flow,Cocultures-2-5-20-BCC,Nan
plus_400,5,0.4,Pro,MIT9215,1.05E+04,8.92E+03,9.20E+03,1.03E+04,339.3529367,6.869542465,flow,Cocultures-2-5-20-BCC,Nan
plus_0,1,0,Pro ,MIT9312,58728,54759,53415,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,4,0,Pro ,MIT9312,283080,241427,204281,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,5,0,Pro ,MIT9312,419391,348416,286548,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,7,0,Pro ,MIT9312,1750610,1299260,941160,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,8,0,Pro ,MIT9312,3058200,2086680,1446360,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,10,0,Pro ,MIT9312,6446210,5184650,4271980,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,1,0.4,Pro ,MIT9312,53993,53065,55942,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,4,0.4,Pro ,MIT9312,152289,187323,159070,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,5,0.4,Pro ,MIT9312,204074,253673,201692,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,7,0.4,Pro ,MIT9312,444410,737160,458580,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,8,0.4,Pro ,MIT9312,637230,1015810,679800,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,10,0.4,Pro ,MIT9312,1675790,2963490,1760750,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,1,0,Pro ,MED4,33942.8939,30965.48693,31609.73479,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,3,0,Pro ,MED4,68209.97613,70402.27989,53676.01294,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,4,0,Pro ,MED4,92620.71576,89690.30378,81777.85799,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,5,0,Pro ,MED4,1.47E+05,1.46E+05,1.21E+05,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,7,0,Pro ,MED4,3.40E+05,2.91E+05,2.16E+05,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_0,10,0,Pro ,MED4,9.24E+05,7.55E+05,5.08E+05,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,1,0.4,Pro ,MED4,33044.20995,29557.51257,39070.24587,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,3,0.4,Pro ,MED4,48955.78097,44101.17294,37673.0986,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,4,0.4,Pro ,MED4,57454.31906,57322.20546,45011.55608,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,5,0.4,Pro ,MED4,6.72E+04,7.16E+04,5.50E+04,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,7,0.4,Pro ,MED4,9.24E+04,9.59E+04,8.33E+04,Nan,Nan,Nan,flow,Ma_et_al_2018,24
plus_400,10,0.4,Pro ,MED4,7.27E+04,1.12E+05,1.04E+05,Nan,Nan,Nan,flow,Ma_et_al_2018,24
